maneuver,mux,muy,sigx,sigy,time
6,50.545036,-0.58087486,0.067932256,0.2056894,3.6
6,53.03583,-0.6484267,0.06488467,0.1950358,3.8000000000000003
6,57.217495,-1.0686255,0.06341355,0.17871572,4.0
6,60.81806,-1.3812563,0.061155245,0.15934142,4.2
6,65.80028,-2.0114667,0.058293086,0.1462227,4.4
6,70.205444,-2.5049343,0.0561407,0.14495033,4.6000000000000005
6,73.13311,-2.8308015,0.05301904,0.13654275,4.800000000000001
6,76.87106,-3.3747778,0.04906591,0.12886962,5.0
6,80.91584,-3.6792004,0.046648655,0.11805603,5.2
6,84.072655,-3.846645,0.044695456,0.108607605,5.4
6,86.40351,-3.9597015,0.043442387,0.10291277,5.6000000000000005
6,88.78156,-4.166265,0.0438917,0.10158656,5.800000000000001
6,91.244316,-4.557931,0.04466337,0.10177119,6.0
6,94.034904,-5.0150433,0.044785336,0.10072291,6.2
6,97.03912,-5.4097533,0.04412417,0.09734944,6.4
6,99.432816,-5.65255,0.041846342,0.09198503,6.6000000000000005
6,101.2019,-5.785609,0.038887914,0.08672596,6.800000000000001
6,102.65129,-5.8870196,0.03640146,0.08282734,7.0
6,103.99612,-5.9877677,0.03435532,0.0798916,7.2
6,105.52234,-6.122881,0.032627724,0.077672556,7.4
6,107.62522,-6.332674,0.031073859,0.07577009,7.6000000000000005
6,110.860405,-6.6332583,0.029349659,0.07259508,7.800000000000001
6,115.719154,-6.99991,0.026997682,0.06674007,8.0
6,120.924995,-7.2943296,0.023678774,0.061717812,8.200000000000001
6,125.03286,-7.557381,0.0216723,0.06019166,8.4
6,128.47775,-7.9228034,0.02096927,0.059156165,8.6
6,131.83665,-8.363381,0.020820204,0.0579351,8.8
6,134.58084,-8.745658,0.020804197,0.05691402,9.0
6,136.14058,-8.973817,0.020776452,0.056552332,9.200000000000001
6,136.69923,-9.063313,0.020760598,0.056924347,9.4
6,136.70445,-9.073447,0.020794919,0.05780262,9.600000000000001
6,136.41315,-9.04419,0.020992195,0.059103493,9.8
